key,description
API_ASSET_CHARGE_SUMMARY.AAS_ACC_XREF_NBR,AAS_ACC_XREF_NBR External Reference number
API_ASSET_CHARGE_SUMMARY.AAS_BILLED_DATE,AAS_BILLED_DATE Billed Date
API_ASSET_CHARGE_SUMMARY.AAS_NET_UNITS,AAS_NET_UNITS Net Units
API_ASSET_CHARGE_SUMMARY.AAS_MIN_UNITS,AAS_MIN_UNITS Minimum Units
API_ASSET_CHARGE_SUMMARY.AAS_CHARGEABLE_UNITS,AAS_CHARGEABLE_UNITS Chargeable units
API_ASSET_CHARGE_SUMMARY.AAS_BASE_UNITS,AAS_BASE_UNITS Base Units
API_ASSET_CHARGE_SUMMARY.AAS_EXCESS_UNITS_CYCLE,AAS_EXCESS_UNITS_CYCLE Excess units
API_ASSET_CHARGE_SUMMARY.AAS_BASE_UNITS_CHARGE,AAS_BASE_UNITS_CHARGE Base Units
API_ASSET_CHARGE_SUMMARY.AAS_EFFECTIVE_BASE_UNITS,AAS_EFFECTIVE_BASE_UNITS Effective base unit
API_ASSET_CHARGE_SUMMARY.AAS_EXCESS_CHARGE_CYCLE,AAS_EXCESS_CHARGE_CYCLE Excess charge for Excess/Rental
API_ASSET_CHARGE_SUMMARY.AAS_TOTAL_USAGE_CHARGE,AAS_TOTAL_USAGE_CHARGE Total Usage Charge for usage cycle
API_ASSET_CHARGE_SUMMARY.AAS_UNUSED_UNITS_CYCLE,AAS_UNUSED_UNITS_CYCLE Unused units for the cycle
API_ASSET_CHARGE_SUMMARY.AAS_PROCESSED_DATE,AAS_PROCESSED_DATE Processed Date
API_ASSET_CHARGE_SUMMARY.AAS_USAGE_CYCLE,AAS_USAGE_CYCLE Indicates which Usage Cycle belongs to.
API_ASSET_CHARGE_SUMMARY.AAS_EXCESS_UNITS_LIFE,AAS_EXCESS_UNITS_LIFE Excess units
API_ASSET_CHARGE_SUMMARY.AAS_EXCESS_CHARGE_LIFE,AAS_EXCESS_CHARGE_LIFE Excess charge
API_ASSET_CHARGE_SUMMARY.AAS_UNUSED_UNITS_LIFE,AAS_UNUSED_UNITS_LIFE Unused units
API_ASSET_CHARGE_SUMMARY.AAS_ELASTIC_USAGE_TERM,AAS_ELASTIC_USAGE_TERM Number of term by which the total units will be elapsed.
API_ASSET_CHARGE_SUMMARY.CREATED_BY,CREATED_BY Standard Who
API_ASSET_CHARGE_SUMMARY.CREATION_DATE,CREATION_DATE Standard Who
API_ASSET_CHARGE_SUMMARY.LAST_UPDATED_BY,LAST_UPDATED_BY Standard Who
API_ASSET_CHARGE_SUMMARY.LAST_UPDATE_DATE,LAST_UPDATE_DATE Standard Who
